#   M	    K	    N	    v3.3	  no_tma	 dev_tma	host_tma
  128	  128	  128	0.008144	0.008003	0.009638	0.058784
  128	  128	  256	0.007878	0.008273	0.012028	0.034769
  128	  128	  384	0.007865	0.008378	0.009622	0.034230
  128	  128	  512	0.007891	0.008296	0.009551	0.032533
  128	  128	  640	0.008099	0.008286	0.009481	0.034029
  128	  128	  768	0.008191	0.008391	0.009611	0.033160
  128	  128	  896	0.008206	0.008208	0.009648	0.035516
  128	  128	 1024	0.008214	0.008343	0.009652	0.032457
  128	  128	 1152	0.008443	0.008363	0.009838	0.033378
  128	  128	 1280	0.008294	0.008217	0.009909	0.034575
  128	  128	 1408	0.008333	0.008488	0.009884	0.033618
  128	  128	 1536	0.008159	0.008564	0.009846	0.034168
  128	  128	 1664	0.008121	0.008438	0.010227	0.033552
  128	  128	 1792	0.008491	0.008461	0.009875	0.032690
  128	  128	 1920	0.008205	0.008583	0.009914	0.033530
  128	  128	 2048	0.008252	0.008469	0.009886	0.033061
  128	  128	 2176	0.008732	0.008498	0.010138	0.034560
  128	  128	 2304	0.008472	0.008393	0.009954	0.032919
  128	  128	 2432	0.008599	0.008386	0.010204	0.033549
  128	  128	 2560	0.008571	0.008412	0.009930	0.033633
  128	  128	 2688	0.008446	0.008921	0.010100	0.034549
  128	  128	 2816	0.008429	0.008639	0.010229	0.034270
  128	  128	 2944	0.009074	0.008447	0.010199	0.034612
  128	  128	 3072	0.008514	0.008783	0.010231	0.034382
  128	  128	 3200	0.008600	0.009013	0.010290	0.034064
  128	  128	 3328	0.008623	0.008762	0.010080	0.033877
  128	  128	 3456	0.008649	0.008717	0.010321	0.035161
  128	  128	 3584	0.008819	0.008662	0.010150	0.033983
  128	  128	 3712	0.008712	0.008669	0.010308	0.034088
  128	  128	 3840	0.008868	0.009047	0.010066	0.034574
  128	  128	 3968	0.009053	0.008513	0.010126	0.034656
  128	  128	 4096	0.008730	0.009051	0.010265	0.033658
  256	  128	  128	0.007796	0.007827	0.009399	0.031955
  256	  128	  256	0.008299	0.008474	0.009615	0.033241
  256	  128	  384	0.008042	0.008248	0.009480	0.034306
  256	  128	  512	0.007941	0.008343	0.009920	0.033767
  256	  128	  640	0.008006	0.008119	0.009645	0.033392
  256	  128	  768	0.008189	0.008533	0.009959	0.033633
  256	  128	  896	0.008234	0.008629	0.010031	0.032764
  256	  128	 1024	0.008427	0.008281	0.009891	0.033553
  256	  128	 1152	0.008138	0.008431	0.009999	0.033412
  256	  128	 1280	0.008633	0.008620	0.009907	0.033544
