#   M	    K	    N	    v3.3
  128	  128	  128	0.008144
  128	  128	  256	0.007878
  128	  128	  384	0.007865
  128	  128	  512	0.007891
  128	  128	  640	0.008099
  128	  128	  768	0.008191
  128	  128	  896	0.008206
  128	  128	 1024	0.008214
  128	  128	 1152	0.008443
  128	  128	 1280	0.008294
  128	  128	 1408	0.008333
  128	  128	 1536	0.008159
  128	  128	 1664	0.008121
  128	  128	 1792	0.008491
  128	  128	 1920	0.008205
  128	  128	 2048	0.008252
  128	  128	 2176	0.008732
  128	  128	 2304	0.008472
  128	  128	 2432	0.008599
  128	  128	 2560	0.008571
  128	  128	 2688	0.008446
  128	  128	 2816	0.008429
  128	  128	 2944	0.009074
  128	  128	 3072	0.008514
  128	  128	 3200	0.008600
  128	  128	 3328	0.008623
  128	  128	 3456	0.008649
  128	  128	 3584	0.008819
  128	  128	 3712	0.008712
  128	  128	 3840	0.008868
  128	  128	 3968	0.009053
  128	  128	 4096	0.008730
  256	  128	  128	0.007796
  256	  128	  256	0.008299
  256	  128	  384	0.008042
  256	  128	  512	0.007941
  256	  128	  640	0.008006
  256	  128	  768	0.008189
  256	  128	  896	0.008234
  256	  128	 1024	0.008427
  256	  128	 1152	0.008138
  256	  128	 1280	0.008633
  256	  128	 1408	0.008460
  256	  128	 1536	0.008684
  256	  128	 1664	0.008579
  256	  128	 1792	0.008495
  256	  128	 1920	0.008821
  256	  128	 2048	0.008452
  256	  128	 2176	0.008772
  256	  128	 2304	0.008753
  256	  128	 2432	0.008702
  256	  128	 2560	0.009294
  256	  128	 2688	0.008810
  256	  128	 2816	0.008913
  256	  128	 2944	0.008813
  256	  128	 3072	0.009038
  256	  128	 3200	0.009082
  256	  128	 3328	0.009150
  256	  128	 3456	0.009208
  256	  128	 3584	0.009020
  256	  128	 3712	0.009255
  256	  128	 3840	0.009059
  256	  128	 3968	0.009115
  256	  128	 4096	0.009132
  384	  128	  128	0.008227
  384	  128	  256	0.007900
  384	  128	  384	0.008010
  384	  128	  512	0.008418
  384	  128	  640	0.008617
  384	  128	  768	0.008287
  384	  128	  896	0.008555
  384	  128	 1024	0.008673
  384	  128	 1152	0.008712
  384	  128	 1280	0.008707
  384	  128	 1408	0.008764
  384	  128	 1536	0.009103
  384	  128	 1664	0.008810
  384	  128	 1792	0.008977
  384	  128	 1920	0.008935
  384	  128	 2048	0.008876
  384	  128	 2176	0.009150
  384	  128	 2304	0.009215
  384	  128	 2432	0.008989
  384	  128	 2560	0.009266
  384	  128	 2688	0.009433
  384	  128	 2816	0.009439
  384	  128	 2944	0.009657
  384	  128	 3072	0.009685
  384	  128	 3200	0.009976
  384	  128	 3328	0.010107
  384	  128	 3456	0.010126
  384	  128	 3584	0.011338
  384	  128	 3712	0.010931
  384	  128	 3840	0.010566
  384	  128	 3968	0.010668
  384	  128	 4096	0.010504
  512	  128	  128	0.008502
  512	  128	  256	0.008395
  512	  128	  384	0.008280
  512	  128	  512	0.008359
  512	  128	  640	0.008610
  512	  128	  768	0.008614
  512	  128	  896	0.009021
  512	  128	 1024	0.008845
  512	  128	 1152	0.009098
  512	  128	 1280	0.008784
  512	  128	 1408	0.009099
  512	  128	 1536	0.008943
  512	  128	 1664	0.009349
  512	  128	 1792	0.009458
  512	  128	 1920	0.009742
  512	  128	 2048	0.009853
  512	  128	 2176	0.010277
  512	  128	 2304	0.010394
  512	  128	 2432	0.010095
  512	  128	 2560	0.010576
  512	  128	 2688	0.010407
  512	  128	 2816	0.010096
  512	  128	 2944	0.010264
  512	  128	 3072	0.010518
  512	  128	 3200	0.010368
  512	  128	 3328	0.010489
  512	  128	 3456	0.010843
  512	  128	 3584	0.010731
  512	  128	 3712	0.018783
  512	  128	 3840	0.011361
  512	  128	 3968	0.010907
  512	  128	 4096	0.011033
  640	  128	  128	0.008600
  640	  128	  256	0.008596
  640	  128	  384	0.008750
  640	  128	  512	0.008651
  640	  128	  640	0.008811
  640	  128	  768	0.008762
  640	  128	  896	0.009327
  640	  128	 1024	0.009288
  640	  128	 1152	0.009574
  640	  128	 1280	0.009315
  640	  128	 1408	0.009298
  640	  128	 1536	0.009529
  640	  128	 1664	0.009755
  640	  128	 1792	0.010235
  640	  128	 1920	0.010356
  640	  128	 2048	0.010305
