#   M     K     N   no_tma  dev_tma host_tma
    1     4  2048 0.006923 0.009629 nan
    2     4  2048 0.007508 0.013146 nan
    4     4  2048 0.007082 0.009739 nan
    8     4  2048 0.007080 0.009388 nan
   24     4  2048 0.007195 0.009557 nan
  192     4  2048 0.007607 0.009776 nan
 2048     4  2048 0.011747 0.015436 nan
 7168     4  2048 0.024937 0.036439 nan
16384     4  2048 0.047575 0.064193 nan
    1   128  2048 0.008086 0.012487 0.060461
    2   128  2048 0.008404 0.012713 0.035475
    4   128  2048 0.007971 0.010163 0.038481
    8   128  2048 0.008280 0.010405 0.036971
   24   128  2048 0.008258 0.010202 0.035899
  192   128  2048 0.008341 0.009990 0.060120
 2048   128  2048 0.011406 0.013169 0.037000
 7168   128  2048 0.024827 0.032827 0.037498
16384   128  2048 0.047444 0.060686 0.041631
    1  1024  2048 0.012586 0.012797 0.035671
    2  1024  2048 0.012095 0.012779 0.038265
    4  1024  2048 0.012381 0.012883 0.034798
    8  1024  2048 0.011959 0.012877 0.038986
   24  1024  2048 0.012156 0.013012 0.035923
  192  1024  2048 0.012324 0.013151 0.037075
 2048  1024  2048 0.023930 0.021770 0.036867
 7168  1024  2048 0.068666 0.069641 0.057220
16384  1024  2048 0.154233 0.145609 0.129112
    1  2048     1 0.011478 0.013064 nan
    2  2048     1 0.012031 0.014037 nan
    4  2048     1 0.012012 0.013015 nan
    8  2048     1 0.011845 0.012440 nan
   24  2048     1 0.012182 0.013533 nan
  192  2048     1 0.012437 0.014815 nan
 2048  2048     1 0.017974 0.026820 nan
 7168  2048     1 0.033098 0.040615 nan
16384  2048     1 0.060321 0.069727 nan
    1  2048    16 0.013727 0.012458 0.036969
    2  2048    16 0.014749 0.012738 0.036658
    4  2048    16 0.014557 0.012472 0.034159
    8  2048    16 0.014841 0.012853 0.035074
   24  2048    16 0.014792 0.012969 0.036707
  192  2048    16 0.015233 0.013178 0.036797
 2048  2048    16 0.017559 0.015807 0.038603
 7168  2048    16 0.027382 0.024107 0.039313
16384  2048    16 0.046169 0.041101 0.044490
    1  2048   512 0.014281 0.013868 0.036415
    2  2048   512 0.013701 0.013101 0.035751
    4  2048   512 0.013666 0.013877 0.036000
    8  2048   512 0.013455 0.013618 0.037205
   24  2048   512 0.013624 0.013753 0.036498
  192  2048   512 0.013687 0.014114 0.035882
 2048  2048   512 0.018086 0.017866 0.038304
 7168  2048   512 0.035840 0.033581 0.045244
16384  2048   512 0.068110 0.063375 0.064148
    1  2048  2560 0.015501 0.015268 0.037916
    2  2048  2560 0.014936 0.015622 0.037433
    4  2048  2560 0.015181 0.015530 0.036911
    8  2048  2560 0.014941 0.015551 0.037117
   24  2048  2560 0.014880 0.015269 0.038396
  192  2048  2560 0.015752 0.017208 0.036387
 2048  2048  2560 0.054398 0.053297 0.043544
 7168  2048  2560 0.167895 0.142175 0.137373
16384  2048  2560 0.338847 0.299211 0.318857
    1  2048  3072 0.015913 0.015904 0.038159
    2  2048  3072 0.015452 0.015872 0.063064
    4  2048  3072 0.015252 0.015888 0.037383
    8  2048  3072 0.015538 0.016200 0.037413
   24  2048  3072 0.015322 0.016258 0.037197
  192  2048  3072 0.018289 0.018563 0.037282
 2048  2048  3072 0.056013 0.057497 0.043268
 7168  2048  3072 0.184826 0.168535 0.164000
16384  2048  3072 0.401615 0.357601 0.362210
    1  2048 37984 0.075908 0.074277 0.066360
    2  2048 37984 0.071927 0.074232 0.067610
    4  2048 37984 0.070811 0.074509 0.067674
    8  2048 37984 0.070292 0.074466 0.067368
   24  2048 37984 0.070974 0.070685 0.066601
  192  2048 37984 0.105710 0.101732 0.092986
 2048  2048 37984 0.641600 0.579499 0.533585
 7168  2048 37984 2.196902 1.966270 1.911878
16384  2048 37984 5.114540 4.882705 4.307622
