#   M	    K	    N	     v33
    1	    4	 2048	0.006908
    2	    4	 2048	0.007242
    4	    4	 2048	0.007238
    8	    4	 2048	0.007229
   16	    4	 2048	0.007211
   24	    4	 2048	0.007384
   32	    4	 2048	0.007395
   40	    4	 2048	0.007307
   48	    4	 2048	0.007152
   56	    4	 2048	0.007328
   64	    4	 2048	0.007315
   72	    4	 2048	0.007294
   80	    4	 2048	0.007148
   88	    4	 2048	0.007301
   96	    4	 2048	0.007330
  104	    4	 2048	0.007348
  112	    4	 2048	0.007183
  120	    4	 2048	0.007394
  128	    4	 2048	0.007383
  136	    4	 2048	0.007292
  144	    4	 2048	0.007313
  152	    4	 2048	0.007316
  160	    4	 2048	0.007328
  168	    4	 2048	0.007455
  176	    4	 2048	0.007477
  184	    4	 2048	0.007491
  192	    4	 2048	0.007348
  200	    4	 2048	0.007325
  208	    4	 2048	0.007461
  216	    4	 2048	0.007308
  224	    4	 2048	0.007452
  232	    4	 2048	0.007484
  240	    4	 2048	0.007304
  248	    4	 2048	0.007456
  256	    4	 2048	0.007492
  272	    4	 2048	0.007469
  288	    4	 2048	0.007477
  304	    4	 2048	0.007460
  320	    4	 2048	0.007480
  336	    4	 2048	0.007484
  352	    4	 2048	0.007502
  368	    4	 2048	0.007626
  384	    4	 2048	0.007506
  400	    4	 2048	0.007589
  416	    4	 2048	0.007603
  432	    4	 2048	0.007647
  448	    4	 2048	0.007515
  464	    4	 2048	0.007554
  480	    4	 2048	0.007573
  496	    4	 2048	0.007569
  512	    4	 2048	0.007767
  768	    4	 2048	0.008050
 1024	    4	 2048	0.008572
 1536	    4	 2048	0.011217
 2048	    4	 2048	0.011862
 3072	    4	 2048	0.014643
 4096	    4	 2048	0.017427
 7168	    4	 2048	0.025694
 8192	    4	 2048	0.028404
11264	    4	 2048	0.036159
12288	    4	 2048	0.039055
15360	    4	 2048	0.046792
16384	    4	 2048	0.049643
    1	  128	 2048	0.007441
    2	  128	 2048	0.008096
    4	  128	 2048	0.007926
    8	  128	 2048	0.008100
   16	  128	 2048	0.007943
   24	  128	 2048	0.008117
   32	  128	 2048	0.007992
   40	  128	 2048	0.008207
   48	  128	 2048	0.008401
   56	  128	 2048	0.008470
   64	  128	 2048	0.008480
   72	  128	 2048	0.008199
   80	  128	 2048	0.008211
   88	  128	 2048	0.008232
   96	  128	 2048	0.008058
  104	  128	 2048	0.008065
  112	  128	 2048	0.008224
  120	  128	 2048	0.008234
  128	  128	 2048	0.008091
  136	  128	 2048	0.008282
  144	  128	 2048	0.008178
  152	  128	 2048	0.008316
  160	  128	 2048	0.008184
  168	  128	 2048	0.008168
  176	  128	 2048	0.008339
  184	  128	 2048	0.008551
  192	  128	 2048	0.008425
  200	  128	 2048	0.008730
  208	  128	 2048	0.008492
  216	  128	 2048	0.008753
  224	  128	 2048	0.008492
  232	  128	 2048	0.008503
  240	  128	 2048	0.008377
  248	  128	 2048	0.008343
  256	  128	 2048	0.008390
  272	  128	 2048	0.008636
  288	  128	 2048	0.008683
  304	  128	 2048	0.008704
  320	  128	 2048	0.008563
  336	  128	 2048	0.008546
  352	  128	 2048	0.008694
  368	  128	 2048	0.008730
  384	  128	 2048	0.008586
  400	  128	 2048	0.008731
  416	  128	 2048	0.008599
  432	  128	 2048	0.008775
  448	  128	 2048	0.008741
  464	  128	 2048	0.008714
  480	  128	 2048	0.008684
  496	  128	 2048	0.008761
  512	  128	 2048	0.008897
  768	  128	 2048	0.009772
 1024	  128	 2048	0.010112
 1536	  128	 2048	0.010904
 2048	  128	 2048	0.011654
 3072	  128	 2048	0.016588
 4096	  128	 2048	0.017589
 7168	  128	 2048	0.026789
 8192	  128	 2048	0.028474
11264	  128	 2048	0.036884
12280	  128	 2048	0.039125
15360	  128	 2048	0.047037
16384	  128	 2048	0.050384
    1	 1024	 2048	0.012294
    2	 1024	 2048	0.012118
    4	 1024	 2048	0.012017
    8	 1024	 2048	0.012008
   16	 1024	 2048	0.012091
   24	 1024	 2048	0.012050
   32	 1024	 2048	0.012078
   40	 1024	 2048	0.012090
   48	 1024	 2048	0.011945
   56	 1024	 2048	0.012185
   64	 1024	 2048	0.012131
   72	 1024	 2048	0.012513
   80	 1024	 2048	0.012518
   88	 1024	 2048	0.012718
   96	 1024	 2048	0.012528
  104	 1024	 2048	0.013233
  112	 1024	 2048	0.013135
  120	 1024	 2048	0.013082
  128	 1024	 2048	0.012991
  136	 1024	 2048	0.013149
  144	 1024	 2048	0.013107
  152	 1024	 2048	0.013105
  160	 1024	 2048	0.012946
  168	 1024	 2048	0.012937
  176	 1024	 2048	0.012947
  184	 1024	 2048	0.013154
  192	 1024	 2048	0.012994
  200	 1024	 2048	0.013057
  208	 1024	 2048	0.013021
  216	 1024	 2048	0.013015
  224	 1024	 2048	0.013190
  232	 1024	 2048	0.013513
  240	 1024	 2048	0.013499
  248	 1024	 2048	0.013379
  256	 1024	 2048	0.013383
  272	 1024	 2048	0.014263
  288	 1024	 2048	0.014210
  304	 1024	 2048	0.014233
  320	 1024	 2048	0.014048
  336	 1024	 2048	0.014254
  352	 1024	 2048	0.014083
