#   M	    K	    N	     v33
    1	    4	 2048	0.002561
    2	    4	 2048	0.002914
    4	    4	 2048	0.002919
    8	    4	 2048	0.002911
   16	    4	 2048	0.002986
   24	    4	 2048	0.002987
   32	    4	 2048	0.002998
   40	    4	 2048	0.002941
   48	    4	 2048	0.002934
   56	    4	 2048	0.002972
   64	    4	 2048	0.002980
   72	    4	 2048	0.003139
   80	    4	 2048	0.003133
   88	    4	 2048	0.003137
   96	    4	 2048	0.003137
  104	    4	 2048	0.003143
  112	    4	 2048	0.003139
  120	    4	 2048	0.003165
  128	    4	 2048	0.003167
  136	    4	 2048	0.003429
  144	    4	 2048	0.003452
  152	    4	 2048	0.003483
  160	    4	 2048	0.003484
  168	    4	 2048	0.003480
  176	    4	 2048	0.003486
  184	    4	 2048	0.003490
  192	    4	 2048	0.003495
  200	    4	 2048	0.003121
  208	    4	 2048	0.003111
  216	    4	 2048	0.003127
  224	    4	 2048	0.003113
  232	    4	 2048	0.003118
  240	    4	 2048	0.003111
  248	    4	 2048	0.003112
  256	    4	 2048	0.003109
  272	    4	 2048	0.003599
  288	    4	 2048	0.003608
  304	    4	 2048	0.003606
  320	    4	 2048	0.003613
  336	    4	 2048	0.003613
  352	    4	 2048	0.003604
  368	    4	 2048	0.003594
  384	    4	 2048	0.003600
  400	    4	 2048	0.003697
  416	    4	 2048	0.003693
  432	    4	 2048	0.003599
  448	    4	 2048	0.003609
  464	    4	 2048	0.003601
  480	    4	 2048	0.003597
  496	    4	 2048	0.003602
  512	    4	 2048	0.003606
  768	    4	 2048	0.004119
 1024	    4	 2048	0.004802
 1536	    4	 2048	0.006462
 2048	    4	 2048	0.007519
 3072	    4	 2048	0.010461
 4096	    4	 2048	0.013340
 7168	    4	 2048	0.021452
 8192	    4	 2048	0.024122
11264	    4	 2048	0.031743
12288	    4	 2048	0.034424
15360	    4	 2048	0.042246
16384	    4	 2048	0.044884
    1	  128	 2048	0.003332
    2	  128	 2048	0.003354
    4	  128	 2048	0.003361
    8	  128	 2048	0.003736
   16	  128	 2048	0.003744
   24	  128	 2048	0.003756
   32	  128	 2048	0.003769
   40	  128	 2048	0.003797
   48	  128	 2048	0.003823
   56	  128	 2048	0.003832
   64	  128	 2048	0.003849
   72	  128	 2048	0.003600
   80	  128	 2048	0.003599
   88	  128	 2048	0.003620
   96	  128	 2048	0.003614
  104	  128	 2048	0.003633
  112	  128	 2048	0.003632
  120	  128	 2048	0.003653
  128	  128	 2048	0.003646
  136	  128	 2048	0.004068
  144	  128	 2048	0.004095
  152	  128	 2048	0.004106
  160	  128	 2048	0.004116
  168	  128	 2048	0.004124
  176	  128	 2048	0.004126
  184	  128	 2048	0.004136
  192	  128	 2048	0.004135
  200	  128	 2048	0.003962
  208	  128	 2048	0.003960
  216	  128	 2048	0.003965
  224	  128	 2048	0.003964
  232	  128	 2048	0.003741
  240	  128	 2048	0.003742
  248	  128	 2048	0.003749
  256	  128	 2048	0.003746
  272	  128	 2048	0.004456
  288	  128	 2048	0.004497
  304	  128	 2048	0.004752
  320	  128	 2048	0.004749
  336	  128	 2048	0.004462
  352	  128	 2048	0.004472
  368	  128	 2048	0.004748
  384	  128	 2048	0.004725
  400	  128	 2048	0.004440
  416	  128	 2048	0.004446
  432	  128	 2048	0.004453
  448	  128	 2048	0.004456
  464	  128	 2048	0.004453
  480	  128	 2048	0.004458
  496	  128	 2048	0.004788
  512	  128	 2048	0.004773
  768	  128	 2048	0.005303
 1024	  128	 2048	0.005582
 1536	  128	 2048	0.006598
 2048	  128	 2048	0.007137
 3072	  128	 2048	0.010856
 4096	  128	 2048	0.012554
 7168	  128	 2048	0.022284
 8192	  128	 2048	0.024136
11264	  128	 2048	0.032530
12280	  128	 2048	0.034719
15360	  128	 2048	0.042567
16384	  128	 2048	0.045122
    1	 1024	 2048	0.006160
    2	 1024	 2048	0.006631
    4	 1024	 2048	0.006587
    8	 1024	 2048	0.006512
   16	 1024	 2048	0.006497
   24	 1024	 2048	0.006460
   32	 1024	 2048	0.006411
   40	 1024	 2048	0.006492
   48	 1024	 2048	0.006466
   56	 1024	 2048	0.006463
   64	 1024	 2048	0.006477
   72	 1024	 2048	0.007468
   80	 1024	 2048	0.007459
   88	 1024	 2048	0.007505
   96	 1024	 2048	0.007482
  104	 1024	 2048	0.007571
  112	 1024	 2048	0.007590
  120	 1024	 2048	0.007579
  128	 1024	 2048	0.007599
  136	 1024	 2048	0.007809
  144	 1024	 2048	0.007813
  152	 1024	 2048	0.007805
  160	 1024	 2048	0.007816
