#   M	    K	    N	  no_tma	 dev_tma	host_tma
    1	    4	 2048	0.006801	0.009370	nan
    2	    4	 2048	0.007105	0.009434	nan
    4	    4	 2048	0.007154	0.009289	nan
    8	    4	 2048	0.006981	0.009437	nan
   16	    4	 2048	0.007042	0.009521	nan
   24	    4	 2048	0.007100	0.009459	nan
   32	    4	 2048	0.007119	0.009377	nan
   40	    4	 2048	0.007065	0.009552	nan
   48	    4	 2048	0.007247	0.009447	nan
   56	    4	 2048	0.007199	0.009454	nan
   64	    4	 2048	0.007073	0.009470	nan
   72	    4	 2048	0.007286	0.009638	nan
   80	    4	 2048	0.007225	0.009587	nan
   88	    4	 2048	0.007187	0.009507	nan
   96	    4	 2048	0.007198	0.009510	nan
  104	    4	 2048	0.007193	0.009548	nan
  112	    4	 2048	0.007353	0.009659	nan
  120	    4	 2048	0.007446	0.009726	nan
  128	    4	 2048	0.007306	0.009726	nan
  136	    4	 2048	0.007475	0.009538	nan
  144	    4	 2048	0.007281	0.009762	nan
  152	    4	 2048	0.007428	0.009492	nan
  160	    4	 2048	0.007280	0.009569	nan
  168	    4	 2048	0.007544	0.009490	nan
  176	    4	 2048	0.007502	0.009626	nan
  184	    4	 2048	0.007364	0.009555	nan
  192	    4	 2048	0.007357	0.009538	nan
  200	    4	 2048	0.007367	0.009755	nan
  208	    4	 2048	0.007350	0.009811	nan
  216	    4	 2048	0.007390	0.009898	nan
  224	    4	 2048	0.007536	0.009808	nan
  232	    4	 2048	0.007556	0.009627	nan
  240	    4	 2048	0.007537	0.009670	nan
  248	    4	 2048	0.007394	0.009909	nan
  256	    4	 2048	0.007377	0.009706	nan
  272	    4	 2048	0.007585	0.009956	nan
  288	    4	 2048	0.007609	0.009986	nan
  304	    4	 2048	0.007555	0.010138	nan
  320	    4	 2048	0.007554	0.009884	nan
  336	    4	 2048	0.007499	0.010352	nan
  352	    4	 2048	0.007643	0.010281	nan
  368	    4	 2048	0.007608	0.010272	nan
  384	    4	 2048	0.007767	0.010249	nan
  400	    4	 2048	0.007556	0.010453	nan
  416	    4	 2048	0.007709	0.010426	nan
  432	    4	 2048	0.007556	0.010488	nan
  448	    4	 2048	0.007712	0.010352	nan
  464	    4	 2048	0.007633	0.010433	nan
  480	    4	 2048	0.007628	0.010650	nan
  496	    4	 2048	0.007782	0.010752	nan
  512	    4	 2048	0.007786	0.010704	nan
  768	    4	 2048	0.008004	0.012018	nan
 1024	    4	 2048	0.008521	0.012546	nan
 1536	    4	 2048	0.010694	0.013117	nan
 2048	    4	 2048	0.011735	0.014183	nan
 3072	    4	 2048	0.014290	0.020618	nan
 4096	    4	 2048	0.017122	0.022439	nan
 7168	    4	 2048	0.025123	0.034722	nan
 8192	    4	 2048	0.027732	0.037042	nan
11264	    4	 2048	0.035203	0.048738	nan
12288	    4	 2048	0.037631	0.050524	nan
15360	    4	 2048	0.045547	0.061214	nan
16384	    4	 2048	0.047732	0.066900	nan
    1	  128	 2048	0.007614	0.009675	0.031097
    2	  128	 2048	0.007856	0.009877	0.030331
    4	  128	 2048	0.007856	0.009821	0.031154
    8	  128	 2048	0.007858	0.009890	0.029819
   16	  128	 2048	0.007868	0.009976	0.030770
   24	  128	 2048	0.007863	0.009952	0.030018
   32	  128	 2048	0.008042	0.009730	0.030020
   40	  128	 2048	0.008031	0.009874	0.030482
   48	  128	 2048	0.008207	0.009752	0.029449
   56	  128	 2048	0.008081	0.009857	0.029410
   64	  128	 2048	0.008166	0.009890	0.029879
   72	  128	 2048	0.008294	0.010042	0.029585
   80	  128	 2048	0.008309	0.009851	0.030871
   88	  128	 2048	0.008129	0.009865	0.030412
   96	  128	 2048	0.008398	0.009914	0.030340
  104	  128	 2048	0.008130	0.009978	0.030737
  112	  128	 2048	0.008533	0.009942	0.030697
  120	  128	 2048	0.008282	0.010063	0.030992
  128	  128	 2048	0.008397	0.009915	0.030207
  136	  128	 2048	0.008126	0.009968	0.030269
  144	  128	 2048	0.008185	0.010003	0.029745
  152	  128	 2048	0.008299	0.009885	0.029498
  160	  128	 2048	0.008188	0.009803	0.030393
  168	  128	 2048	0.008280	0.009876	0.029624
  176	  128	 2048	0.008480	0.010008	0.029839
  184	  128	 2048	0.008663	0.009996	0.030374
  192	  128	 2048	0.008463	0.009982	0.030656
  200	  128	 2048	0.008370	0.010000	0.030600
  208	  128	 2048	0.008625	0.009898	0.029720
  216	  128	 2048	0.008148	0.010013	0.029509
  224	  128	 2048	0.008217	0.009970	0.029587
  232	  128	 2048	0.008317	0.010010	0.029762
