#   M	    K	    N	    v3.3	  no_tma	 dev_tma	host_tma
  256	  256	  256	0.004135	0.003852	0.005398	0.003045
  256	  256	  512	0.004529	0.004074	0.005567	0.003043
  256	  256	  768	0.004577	0.004209	0.005465	0.003326
  256	  256	 1024	0.004473	0.004016	0.005531	0.003328
  256	  256	 1280	0.004517	0.004041	0.005510	0.003344
  256	  256	 1536	0.004562	0.004102	0.005622	0.003041
  256	  256	 1792	0.004590	0.004132	0.005722	0.003012
  256	  256	 2048	0.004566	0.004133	0.005722	0.003475
  256	  256	 2304	0.005546	0.004716	0.006710	0.003429
  256	  256	 2560	0.005562	0.005177	0.006638	0.003536
  256	  256	 2816	0.005565	0.005184	0.006697	0.003571
  256	  256	 3072	0.005325	0.005171	0.006749	0.003590
  256	  256	 3328	0.005309	0.004712	0.005920	0.003580
  256	  256	 3584	0.005544	0.005163	0.005974	0.003624
  256	  256	 3840	0.005344	0.004847	0.006054	0.003642
  256	  256	 4096	0.005325	0.005194	0.006018	0.003969
  512	  256	  256	0.004409	0.003918	0.005419	0.003047
  512	  256	  512	0.004479	0.004305	0.005488	0.002990
  512	  256	  768	0.004541	0.004119	0.005673	0.003029
  512	  256	 1024	0.004529	0.004254	0.005762	0.003504
  512	  256	 1280	0.005501	0.005265	0.005826	0.003612
  512	  256	 1536	0.005331	0.005208	0.005824	0.003665
  512	  256	 1792	0.005578	0.004848	0.006134	0.003702
  512	  256	 2048	0.005498	0.005200	0.006033	0.003694
  512	  256	 2304	0.006312	0.005508	0.006989	0.004331
  512	  256	 2560	0.006333	0.005592	0.007739	0.004136
  512	  256	 2816	0.006383	0.006193	0.007871	0.004361
  512	  256	 3072	0.006463	0.005639	0.007872	0.004200
  512	  256	 3328	0.006442	0.005716	0.007804	0.004401
  512	  256	 3584	0.006490	0.006147	0.008003	0.004529
  512	  256	 3840	0.006584	0.006222	0.007285	0.004775
  512	  256	 4096	0.006534	0.005859	0.007312	0.004640
  768	  256	  256	0.004435	0.004250	0.005293	0.002889
  768	  256	  512	0.004491	0.004047	0.005640	0.002989
  768	  256	  768	0.005489	0.005214	0.006047	0.003397
  768	  256	 1024	0.005473	0.005189	0.006151	0.003396
  768	  256	 1280	0.005365	0.004837	0.006259	0.003496
  768	  256	 1536	0.006295	0.006337	0.006949	0.004297
  768	  256	 1792	0.006332	0.005582	0.007030	0.004291
  768	  256	 2048	0.006401	0.006222	0.007912	0.004364
  768	  256	 2304	0.006474	0.005787	0.007350	0.004506
  768	  256	 2560	0.006483	0.005805	0.007217	0.004567
  768	  256	 2816	0.006527	0.005759	0.007326	0.004708
  768	  256	 3072	0.008737	0.008012	0.009483	0.005443
  768	  256	 3328	0.008677	0.007832	0.008971	0.005547
  768	  256	 3584	0.008603	0.007791	0.008914	0.005603
  768	  256	 3840	0.008518	0.007732	0.008992	0.005720
  768	  256	 4096	0.008430	0.008046	0.009605	0.005983
 1024	  256	  256	0.004425	0.004291	0.005402	0.002909
 1024	  256	  512	0.004498	0.004232	0.005673	0.003063
 1024	  256	  768	0.005315	0.004783	0.006028	0.003622
 1024	  256	 1024	0.005451	0.004858	0.005973	0.003722
 1024	  256	 1280	0.006282	0.005586	0.007291	0.004721
 1024	  256	 1536	0.006365	0.005700	0.007347	0.004364
 1024	  256	 1792	0.006488	0.005758	0.007116	0.004742
 1024	  256	 2048	0.006532	0.005835	0.007209	0.005056
 1024	  256	 2304	0.008633	0.007982	0.008959	0.005447
