#   M	    K	    N	     v33
  256	  256	  256	0.004135
  256	  256	  512	0.004529
  256	  256	  768	0.004577
  256	  256	 1024	0.004473
  256	  256	 1280	0.004517
  256	  256	 1536	0.004562
  256	  256	 1792	0.004590
  256	  256	 2048	0.004566
  256	  256	 2304	0.005546
  256	  256	 2560	0.005562
  256	  256	 2816	0.005565
  256	  256	 3072	0.005325
  256	  256	 3328	0.005309
  256	  256	 3584	0.005544
  256	  256	 3840	0.005344
  256	  256	 4096	0.005325
  512	  256	  256	0.004409
  512	  256	  512	0.004479
  512	  256	  768	0.004541
  512	  256	 1024	0.004529
  512	  256	 1280	0.005501
  512	  256	 1536	0.005331
  512	  256	 1792	0.005578
  512	  256	 2048	0.005498
  512	  256	 2304	0.006312
  512	  256	 2560	0.006333
  512	  256	 2816	0.006383
  512	  256	 3072	0.006463
  512	  256	 3328	0.006442
  512	  256	 3584	0.006490
  512	  256	 3840	0.006584
  512	  256	 4096	0.006534
  768	  256	  256	0.004435
  768	  256	  512	0.004491
  768	  256	  768	0.005489
  768	  256	 1024	0.005473
  768	  256	 1280	0.005365
  768	  256	 1536	0.006295
  768	  256	 1792	0.006332
  768	  256	 2048	0.006401
  768	  256	 2304	0.006474
  768	  256	 2560	0.006483
  768	  256	 2816	0.006527
  768	  256	 3072	0.008737
  768	  256	 3328	0.008677
  768	  256	 3584	0.008603
  768	  256	 3840	0.008518
  768	  256	 4096	0.008430
 1024	  256	  256	0.004425
 1024	  256	  512	0.004498
 1024	  256	  768	0.005315
 1024	  256	 1024	0.005451
 1024	  256	 1280	0.006282
 1024	  256	 1536	0.006365
 1024	  256	 1792	0.006488
 1024	  256	 2048	0.006532
 1024	  256	 2304	0.008633
 1024	  256	 2560	0.008112
 1024	  256	 2816	0.008000
 1024	  256	 3072	0.008464
 1024	  256	 3328	0.008352
 1024	  256	 3584	0.008477
 1024	  256	 3840	0.008564
 1024	  256	 4096	0.008832
 1280	  256	  256	0.004476
 1280	  256	  512	0.005488
 1280	  256	  768	0.005507
 1280	  256	 1024	0.006334
 1280	  256	 1280	0.006378
 1280	  256	 1536	0.006576
 1280	  256	 1792	0.008475
 1280	  256	 2048	0.008563
 1280	  256	 2304	0.008062
 1280	  256	 2560	0.009432
 1280	  256	 2816	0.008447
 1280	  256	 3072	0.008721
 1280	  256	 3328	0.009692
 1280	  256	 3584	0.012956
 1280	  256	 3840	0.012909
 1280	  256	 4096	0.013104
 1536	  256	  256	0.004467
 1536	  256	  512	0.005447
 1536	  256	  768	0.006338
 1536	  256	 1024	0.006393
 1536	  256	 1280	0.006476
 1536	  256	 1536	0.008660
 1536	  256	 1792	0.008575
 1536	  256	 2048	0.008400
 1536	  256	 2304	0.008448
 1536	  256	 2560	0.008553
 1536	  256	 2816	0.008808
 1536	  256	 3072	0.013000
 1536	  256	 3328	0.013475
 1536	  256	 3584	0.013177
 1536	  256	 3840	0.013294
 1536	  256	 4096	0.013808
 1792	  256	  256	0.004470
 1792	  256	  512	0.005475
 1792	  256	  768	0.006236
 1792	  256	 1024	0.006461
 1792	  256	 1280	0.008477
 1792	  256	 1536	0.008563
 1792	  256	 1792	0.008399
 1792	  256	 2048	0.009499
 1792	  256	 2304	0.008715
 1792	  256	 2560	0.012976
 1792	  256	 2816	0.013363
 1792	  256	 3072	0.013182
 1792	  256	 3328	0.013744
 1792	  256	 3584	0.014126
 1792	  256	 3840	0.015831
 1792	  256	 4096	0.015440
 2048	  256	  256	0.004825
 2048	  256	  512	0.005449
 2048	  256	  768	0.006451
 2048	  256	 1024	0.006540
 2048	  256	 1280	0.008551
 2048	  256	 1536	0.008412
 2048	  256	 1792	0.008432
 2048	  256	 2048	0.008791
 2048	  256	 2304	0.012983
 2048	  256	 2560	0.013107
 2048	  256	 2816	0.013224
 2048	  256	 3072	0.013803
 2048	  256	 3328	0.015340
 2048	  256	 3584	0.015483
 2048	  256	 3840	0.015595
 2048	  256	 4096	0.016016
 2304	  256	  256	0.005462
 2304	  256	  512	0.006387
 2304	  256	  768	0.006416
